GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JQLE001,NAME_M,JQLM001
"G0100010","2006-2010","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",1305895400,"Autauga County, Alabama",42433897
"G0100030","2006-2010","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",4652963200,"Baldwin County, Alabama",105333023
"G0100050","2006-2010","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",439722400,"Barbour County, Alabama",25191676
"G0100070","2006-2010","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",450349700,"Bibb County, Alabama",27131133
"G0100090","2006-2010","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",1194517200,"Blount County, Alabama",55540962
"G0100110","2006-2010","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",221612000,"Bullock County, Alabama",36630312
"G0100130","2006-2010","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",353461800,"Butler County, Alabama",19965130
"G0100150","2006-2010","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",2410197700,"Calhoun County, Alabama",62054866
"G0100170","2006-2010","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",574913000,"Chambers County, Alabama",22850411
"G0100190","2006-2010","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",547966900,"Cherokee County, Alabama",32011882
"G0100210","2006-2010","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",884699700,"Chilton County, Alabama",49065051
"G0100230","2006-2010","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",242911500,"Choctaw County, Alabama",16441438
"G0100250","2006-2010","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",456091700,"Clarke County, Alabama",34295127
"G0100270","2006-2010","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",257384600,"Clay County, Alabama",17315227
"G0100290","2006-2010","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",259247600,"Cleburne County, Alabama",22130740
"G0100310","2006-2010","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",1102192300,"Coffee County, Alabama",39083545
"G0100330","2006-2010","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",1147673900,"Colbert County, Alabama",34516824
"G0100350","2006-2010","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",210828400,"Conecuh County, Alabama",19002431
"G0100370","2006-2010","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",220326200,"Coosa County, Alabama",22235451
"G0100390","2006-2010","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",745463800,"Covington County, Alabama",48482947
"G0100410","2006-2010","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",275682900,"Crenshaw County, Alabama",26411763
"G0100430","2006-2010","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",1621554300,"Cullman County, Alabama",50658865
"G0100450","2006-2010","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",1080238900,"Dale County, Alabama",32482928
"G0100470","2006-2010","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",733533600,"Dallas County, Alabama",38426488
"G0100490","2006-2010","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",1271354200,"DeKalb County, Alabama",60201312
"G0100510","2006-2010","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",1757976900,"Elmore County, Alabama",54834220
"G0100530","2006-2010","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",617772300,"Escambia County, Alabama",28063799
"G0100550","2006-2010","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",2127016000,"Etowah County, Alabama",64390182
"G0100570","2006-2010","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",309454400,"Fayette County, Alabama",17586827
"G0100590","2006-2010","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",567834100,"Franklin County, Alabama",30454035
"G0100610","2006-2010","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",487057300,"Geneva County, Alabama",46584370
"G0100630","2006-2010","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",136401400,"Greene County, Alabama",13597326
"G0100650","2006-2010","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",267143500,"Hale County, Alabama",23354426
"G0100670","2006-2010","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",338095300,"Henry County, Alabama",17943349
"G0100690","2006-2010","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",2250455800,"Houston County, Alabama",41838305
"G0100710","2006-2010","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",1009236100,"Jackson County, Alabama",41370467
"G0100730","2006-2010","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",17427408200,"Jefferson County, Alabama",250674855
"G0100750","2006-2010","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",291750500,"Lamar County, Alabama",53135194
"G0100770","2006-2010","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",2050094800,"Lauderdale County, Alabama",48830237
"G0100790","2006-2010","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",663115300,"Lawrence County, Alabama",26031411
"G0100810","2006-2010","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",3077383900,"Lee County, Alabama",81050162
"G0100830","2006-2010","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",1887289200,"Limestone County, Alabama",63836011
"G0100850","2006-2010","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",193843800,"Lowndes County, Alabama",17366534
"G0100870","2006-2010","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",355426700,"Macon County, Alabama",20048476
"G0100890","2006-2010","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",9665839800,"Madison County, Alabama",164086656
"G0100910","2006-2010","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",390216700,"Marengo County, Alabama",24863893
"G0100930","2006-2010","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",585968000,"Marion County, Alabama",32588070
"G0100950","2006-2010","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",1805969200,"Marshall County, Alabama",65585878
"G0100970","2006-2010","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",8804877700,"Mobile County, Alabama",145990706
"G0100990","2006-2010","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",411814400,"Monroe County, Alabama",26885049
"G0101010","2006-2010","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",5614298100,"Montgomery County, Alabama",107268903
"G0101030","2006-2010","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",2716112400,"Morgan County, Alabama",82962226
"G0101050","2006-2010","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",143521500,"Perry County, Alabama",18601115
"G0101070","2006-2010","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",324210500,"Pickens County, Alabama",14472097
"G0101090","2006-2010","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",611220900,"Pike County, Alabama",34284000
"G0101110","2006-2010","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",452785800,"Randolph County, Alabama",53357307
"G0101130","2006-2010","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",899688500,"Russell County, Alabama",25389703
"G0101150","2006-2010","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",1789969300,"St. Clair County, Alabama",61361328
"G0101170","2006-2010","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",6383865500,"Shelby County, Alabama",143604227
"G0101190","2006-2010","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",200569400,"Sumter County, Alabama",19800535
"G0101210","2006-2010","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",1540923300,"Talladega County, Alabama",45050406
"G0101230","2006-2010","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",936241900,"Tallapoosa County, Alabama",81508533
"G0101250","2006-2010","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",4246067700,"Tuscaloosa County, Alabama",122366764
"G0101270","2006-2010","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",1387114200,"Walker County, Alabama",72382237
"G0101290","2006-2010","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",330480100,"Washington County, Alabama",21718456
"G0101310","2006-2010","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",151023300,"Wilcox County, Alabama",15468436
"G0101330","2006-2010","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",445730800,"Winston County, Alabama",35673263
"G0200130","2006-2010","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",82498800,"Aleutians East Borough, Alaska",16996793
"G0200160","2006-2010","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",187267900,"Aleutians West Census Area, Alaska",49764397
"G0200200","2006-2010","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020",,,"Anchorage Municipality, Alaska",9857783700,"Anchorage Municipality, Alaska",193949543
"G0200500","2006-2010","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050",,,"Bethel Census Area, Alaska",312911300,"Bethel Census Area, Alaska",17696548
"G0200600","2006-2010","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060",,,"Bristol Bay Borough, Alaska",32791600,"Bristol Bay Borough, Alaska",6153030
"G0200680","2006-2010","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068",,,"Denali Borough, Alaska",48328500,"Denali Borough, Alaska",14948375
"G0200700","2006-2010","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070",,,"Dillingham Census Area, Alaska",108849000,"Dillingham Census Area, Alaska",6534217
"G0200900","2006-2010","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090",,,"Fairbanks North Star Borough, Alaska",2870493000,"Fairbanks North Star Borough, Alaska",97292984
"G0201000","2006-2010","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100",,,"Haines Borough, Alaska",46390000,"Haines Borough, Alaska",18016864
"G0201050","2006-2010","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105",,,"Hoonah-Angoon Census Area, Alaska",50586700,"Hoonah-Angoon Census Area, Alaska",10748515
"G0201100","2006-2010","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110",,,"Juneau City and Borough, Alaska",1081752900,"Juneau City and Borough, Alaska",48167592
"G0201220","2006-2010","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122",,,"Kenai Peninsula Borough, Alaska",1570443700,"Kenai Peninsula Borough, Alaska",45466277
"G0201300","2006-2010","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130",,,"Ketchikan Gateway Borough, Alaska",395451900,"Ketchikan Gateway Borough, Alaska",23337738
"G0201500","2006-2010","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150",,,"Kodiak Island Borough, Alaska",352583300,"Kodiak Island Borough, Alaska",25924443
"G0201640","2006-2010","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164",,,"Lake and Peninsula Borough, Alaska",24652000,"Lake and Peninsula Borough, Alaska",5716430
"G0201700","2006-2010","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170",,,"Matanuska-Susitna Borough, Alaska",2348560500,"Matanuska-Susitna Borough, Alaska",46636520
"G0201800","2006-2010","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180",,,"Nome Census Area, Alaska",191415300,"Nome Census Area, Alaska",11652601
"G0201850","2006-2010","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185",,,"North Slope Borough, Alaska",195710000,"North Slope Borough, Alaska",15118280
"G0201880","2006-2010","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188",,,"Northwest Arctic Borough, Alaska",159093600,"Northwest Arctic Borough, Alaska",15351017
"G0201950","2006-2010","AK",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195",,,"Petersburg Census Area, Alaska",118958400,"Petersburg Census Area, Alaska",12219662
"G0201980","2006-2010","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198",,,"Prince of Wales-Hyder Census Area, Alaska",133230600,"Prince of Wales-Hyder Census Area, Alaska",8822779
"G0202200","2006-2010","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220",,,"Sitka City and Borough, Alaska",266661700,"Sitka City and Borough, Alaska",18492189
"G0202300","2006-2010","AK",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02230",,,"Skagway Municipality, Alaska",40511400,"Skagway Municipality, Alaska",7896697
"G0202400","2006-2010","AK",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02240",,,"Southeast Fairbanks Census Area, Alaska",191798700,"Southeast Fairbanks Census Area, Alaska",14117528
"G0202610","2006-2010","AK",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02261",,,"Valdez-Cordova Census Area, Alaska",294930000,"Valdez-Cordova Census Area, Alaska",18610962
"G0202700","2006-2010","AK",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02270",,,"Wade Hampton Census Area, Alaska",83367900,"Wade Hampton Census Area, Alaska",4846195
"G0202750","2006-2010","AK",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02275",,,"Wrangell City and Borough, Alaska",67172800,"Wrangell City and Borough, Alaska",12206110
"G0202820","2006-2010","AK",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02282",,,"Yakutat City and Borough, Alaska",18231200,"Yakutat City and Borough, Alaska",3723335
"G0202900","2006-2010","AK",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02290",,,"Yukon-Koyukuk Census Area, Alaska",104889800,"Yukon-Koyukuk Census Area, Alaska",5159050
"G0400010","2006-2010","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04001",,,"Apache County, Arizona",864400600,"Apache County, Arizona",41212443
"G0400030","2006-2010","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04003",,,"Cochise County, Arizona",2974462000,"Cochise County, Arizona",80307712
"G0400050","2006-2010","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04005",,,"Coconino County, Arizona",2983490500,"Coconino County, Arizona",89573898
"G0400070","2006-2010","AZ",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04007",,,"Gila County, Arizona",1044117300,"Gila County, Arizona",52997839
"G0400090","2006-2010","AZ",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04009",,,"Graham County, Arizona",563641900,"Graham County, Arizona",26365211
"G0400110","2006-2010","AZ",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04011",,,"Greenlee County, Arizona",177014300,"Greenlee County, Arizona",12570731
"G0400120","2006-2010","AZ",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04012",,,"La Paz County, Arizona",434917600,"La Paz County, Arizona",35837461
"G0400130","2006-2010","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04013",,,"Maricopa County, Arizona",104347819100,"Maricopa County, Arizona",552429639
"G0400150","2006-2010","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04015",,,"Mohave County, Arizona",4286861800,"Mohave County, Arizona",106022883
"G0400170","2006-2010","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04017",,,"Navajo County, Arizona",1792752200,"Navajo County, Arizona",66913624
"G0400190","2006-2010","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04019",,,"Pima County, Arizona",24201425300,"Pima County, Arizona",266092457
"G0400210","2006-2010","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04021",,,"Pinal County, Arizona",7151065600,"Pinal County, Arizona",124246504
"G0400230","2006-2010","AZ",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04023",,,"Santa Cruz County, Arizona",746448000,"Santa Cruz County, Arizona",51409176
"G0400250","2006-2010","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04025",,,"Yavapai County, Arizona",5341713400,"Yavapai County, Arizona",153229399
"G0400270","2006-2010","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04027",,,"Yuma County, Arizona",3509075200,"Yuma County, Arizona",80348279
"G0500010","2006-2010","AR",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05001",,,"Arkansas County, Arkansas",427812500,"Arkansas County, Arkansas",29486330
"G0500030","2006-2010","AR",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05003",,,"Ashley County, Arkansas",415495800,"Ashley County, Arkansas",23696028
"G0500050","2006-2010","AR",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05005",,,"Baxter County, Arkansas",890381900,"Baxter County, Arkansas",43686685
"G0500070","2006-2010","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05007",,,"Benton County, Arkansas",5286764000,"Benton County, Arkansas",109568371
"G0500090","2006-2010","AR",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05009",,,"Boone County, Arkansas",752806000,"Boone County, Arkansas",49713874
"G0500110","2006-2010","AR",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05011",,,"Bradley County, Arkansas",219319000,"Bradley County, Arkansas",35258056
"G0500130","2006-2010","AR",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05013",,,"Calhoun County, Arkansas",90991000,"Calhoun County, Arkansas",6859756
"G0500150","2006-2010","AR",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05015",,,"Carroll County, Arkansas",532501600,"Carroll County, Arkansas",33027250
"G0500170","2006-2010","AR",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05017",,,"Chicot County, Arkansas",177513500,"Chicot County, Arkansas",16684021
"G0500190","2006-2010","AR",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05019",,,"Clark County, Arkansas",396693000,"Clark County, Arkansas",37136350
"G0500210","2006-2010","AR",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05021",,,"Clay County, Arkansas",307875000,"Clay County, Arkansas",24138550
"G0500230","2006-2010","AR",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05023",,,"Cleburne County, Arkansas",523362900,"Cleburne County, Arkansas",38563867
"G0500250","2006-2010","AR",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05025",,,"Cleveland County, Arkansas",170832800,"Cleveland County, Arkansas",11148662
"G0500270","2006-2010","AR",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05027",,,"Columbia County, Arkansas",497840900,"Columbia County, Arkansas",33439657
"G0500290","2006-2010","AR",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05029",,,"Conway County, Arkansas",419273600,"Conway County, Arkansas",31039132
"G0500310","2006-2010","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05031",,,"Craighead County, Arkansas",2027852300,"Craighead County, Arkansas",63257378
"G0500330","2006-2010","AR",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05033",,,"Crawford County, Arkansas",1137474000,"Crawford County, Arkansas",36576432
"G0500350","2006-2010","AR",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US05035",,,"Crittenden County, Arkansas",924309700,"Crittenden County, Arkansas",27610713
